Taxid	Sci.Name	Rank	Named Lineage	Taxid Lineage
2711	Citrus sinensis	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Sapindales,Rutaceae,Aurantioideae,Citrus,Citrus sinensis	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91836,41937,23513,1728959,2706,2711
2769	Chondrus crispus	species	root,cellular organisms,Eukaryota,Rhodophyta,Florideophyceae,Rhodymeniophycidae,Gigartinales,Gigartinaceae,Chondrus,Chondrus crispus	1,131567,2759,2763,2806,2045261,28017,29217,2768,2769
2829	Heterosigma akashiwo	species	root,cellular organisms,Eukaryota,Sar,Stramenopiles,Ochrophyta,Raphidophyceae,Chattonellales,Chattonellaceae,Heterosigma,Heterosigma akashiwo	1,131567,2759,2698737,33634,2696291,38410,658125,658124,2828,2829
2850	Phaeodactylum tricornutum	species	root,cellular organisms,Eukaryota,Sar,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyceae,Bacillariophycidae,Naviculales,Phaeodactylaceae,Phaeodactylum,Phaeodactylum tricornutum	1,131567,2759,2698737,33634,2696291,2836,33849,33850,38748,38749,2849,2850
2880	Ectocarpus siliculosus	species	root,cellular organisms,Eukaryota,Sar,Stramenopiles,Ochrophyta,PX clade,Phaeophyceae,Ectocarpales,Ectocarpaceae,Ectocarpus,Ectocarpus siliculosus	1,131567,2759,2698737,33634,2696291,569578,2870,2877,2878,2879,2880
2903	Emiliania huxleyi	species	root,cellular organisms,Eukaryota,Haptista,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi	1,131567,2759,2608109,2830,2608131,73020,418966,2902,2903
2925	Alexandrium catenella	species	root,cellular organisms,Eukaryota,Sar,Alveolata,Dinophyceae,Gonyaulacales,Pyrocystaceae,Alexandrium,Alexandrium catenella	1,131567,2759,2698737,33630,2864,40984,1573500,2924,2925
2951	Symbiodinium microadriaticum	species	root,cellular organisms,Eukaryota,Sar,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,Symbiodinium microadriaticum	1,131567,2759,2698737,33630,2864,89954,252141,2949,2951
2952	Symbiodinium pilosum	species	root,cellular organisms,Eukaryota,Sar,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,Symbiodinium pilosum	1,131567,2759,2698737,33630,2864,89954,252141,2949,2952
2966	Noctiluca scintillans	species	root,cellular organisms,Eukaryota,Sar,Alveolata,Dinophyceae,Noctilucales,Noctilucaceae,Noctiluca,Noctiluca scintillans	1,131567,2759,2698737,33630,2864,2964,66804,2965,2966
2969	Oxyrrhis marina	species	root,cellular organisms,Eukaryota,Sar,Alveolata,Dinophyceae,Oxyrrhinales,Oxyrrhinaceae,Oxyrrhis,Oxyrrhis marina	1,131567,2759,2698737,33630,2864,1239064,174810,2968,2969
3032	Hanusia phi	species	root,cellular organisms,Eukaryota,Cryptophyceae,Pyrenomonadales,Geminigeraceae,Hanusia,Hanusia phi	1,131567,2759,3027,589342,589343,179400,3032
3055	Chlamydomonas reinhardtii	species	root,cellular organisms,Eukaryota,Viridiplantae,Chlorophyta,core chlorophytes,Chlorophyceae,CS clade,Chlamydomonadales,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas reinhardtii	1,131567,2759,33090,3041,2692248,3166,2812636,3042,3051,3052,3055
3068	Volvox carteri f. nagariensis	forma	root,cellular organisms,Eukaryota,Viridiplantae,Chlorophyta,core chlorophytes,Chlorophyceae,CS clade,Chlamydomonadales,Volvocaceae,Volvox,Volvox carteri,Volvox carteri f. nagariensis	1,131567,2759,33090,3041,2692248,3166,2812636,3042,3065,3066,3067,3068
3075	Auxenochlorella protothecoides	species	root,cellular organisms,Eukaryota,Viridiplantae,Chlorophyta,core chlorophytes,Trebouxiophyceae,Chlorellales,Chlorellaceae,Auxenochlorella,Auxenochlorella protothecoides	1,131567,2759,33090,3041,2692248,75966,35460,35461,191392,3075
3076	Chlorella sorokiniana	species	root,cellular organisms,Eukaryota,Viridiplantae,Chlorophyta,core chlorophytes,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella clade,Chlorella,Chlorella sorokiniana	1,131567,2759,33090,3041,2692248,75966,35460,35461,2511126,3071,3076
3088	Tetradesmus obliquus	species	root,cellular organisms,Eukaryota,Viridiplantae,Chlorophyta,core chlorophytes,Chlorophyceae,CS clade,Sphaeropleales,Scenedesmaceae,Tetradesmus,Tetradesmus obliquus	1,131567,2759,33090,3041,2692248,3166,2812636,35491,3086,91192,3088
3197	Marchantia polymorpha	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Marchantiophyta,Marchantiopsida,Marchantiidae,Marchantiales,Marchantiaceae,Marchantia,Marchantia polymorpha	1,131567,2759,33090,35493,131221,3193,3195,186770,186774,28908,29585,3196,3197
3218	Physcomitrium patens	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Bryophyta,Bryophytina,Bryopsida,Funariidae,Funariales,Funariaceae,Physcomitrium,Physcomitrium patens	1,131567,2759,33090,35493,131221,3193,3208,404260,3214,114656,3215,3216,37414,3218
3225	Ceratodon purpureus	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Bryophyta,Bryophytina,Bryopsida,Dicranidae,Pseudoditrichales,Ditrichaceae,Ceratodon,Ceratodon purpureus	1,131567,2759,33090,35493,131221,3193,3208,404260,3214,114657,1929018,3223,3224,3225
3476	Parasponia andersonii	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Rosales,Cannabaceae,Parasponia,Parasponia andersonii	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,3744,3481,3475,3476
3483	Cannabis sativa	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Rosales,Cannabaceae,Cannabis,Cannabis sativa	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,3744,3481,3482,3483
3555	Beta vulgaris subsp. vulgaris	subspecies	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,Caryophyllales,Chenopodiaceae,Betoideae,Beta,Beta vulgaris,Beta vulgaris subsp. vulgaris	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,3524,1804623,1804621,3554,161934,3555
