Taxid	Sci.Name	Rank	Named Lineage	Taxid Lineage
3562	Spinacia oleracea	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,Caryophyllales,Chenopodiaceae,Chenopodioideae,Anserineae,Spinacia,Spinacia oleracea	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,3524,1804623,1307796,1307775,3561,3562
3634	Gossypium barbadense	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Malvales,Malvaceae,Malvoideae,Gossypium,Gossypium barbadense	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91836,41938,3629,214907,3633,3634
3635	Gossypium hirsutum	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Malvales,Malvaceae,Malvoideae,Gossypium,Gossypium hirsutum	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91836,41938,3629,214907,3633,3635
3641	Theobroma cacao	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Malvales,Malvaceae,Byttnerioideae,Theobroma,Theobroma cacao	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91836,41938,3629,214909,3640,3641
3649	Carica papaya	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Brassicales,Caricaceae,Carica,Carica papaya	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91836,3699,3647,3648,3649
3656	Cucumis melo	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Cucurbitales,Cucurbitaceae,Benincaseae,Cucumis,Cucumis melo	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,71239,3650,1003877,3655,3656
3659	Cucumis sativus	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Cucurbitales,Cucurbitaceae,Benincaseae,Cucumis,Cucumis sativus	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,71239,3650,1003877,3655,3659
3661	Cucurbita maxima	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Cucurbitales,Cucurbitaceae,Cucurbiteae,Cucurbita,Cucurbita maxima	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,71239,3650,1003878,3660,3661
3662	Cucurbita moschata	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Cucurbitales,Cucurbitaceae,Cucurbiteae,Cucurbita,Cucurbita moschata	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,71239,3650,1003878,3660,3662
3673	Momordica charantia	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Cucurbitales,Cucurbitaceae,Momordiceae,Momordica,Momordica charantia	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,71239,3650,1003871,3671,3673
3694	Populus trichocarpa	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Malpighiales,Salicaceae,Saliceae,Populus,Populus trichocarpa	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,3646,3688,238069,3689,3694
3696	Populus deltoides	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Malpighiales,Salicaceae,Saliceae,Populus,Populus deltoides	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,3646,3688,238069,3689,3696
3702	Arabidopsis thaliana	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Brassicales,Brassicaceae,Camelineae,Arabidopsis,Arabidopsis thaliana	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91836,3699,3700,980083,3701,3702
3708	Brassica napus	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Brassicales,Brassicaceae,Brassiceae,Brassica,Brassica napus	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91836,3699,3700,981071,3705,3708
3711	Brassica rapa	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Brassicales,Brassicaceae,Brassiceae,Brassica,Brassica rapa	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91836,3699,3700,981071,3705,3711
3712	Brassica oleracea	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Brassicales,Brassicaceae,Brassiceae,Brassica,Brassica oleracea	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91836,3699,3700,981071,3705,3712
3726	Raphanus sativus	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Brassicales,Brassicaceae,Brassiceae,Raphanus,Raphanus sativus	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91836,3699,3700,981071,3725,3726
3750	Malus domestica	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Rosales,Rosaceae,Amygdaloideae,Maleae,Malus,Malus domestica	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,3744,3745,171637,721813,3749,3750
3755	Prunus dulcis	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Rosales,Rosaceae,Amygdaloideae,Amygdaleae,Prunus,Prunus dulcis	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,3744,3745,171637,721805,3754,3755
3760	Prunus persica	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Rosales,Rosaceae,Amygdaloideae,Amygdaleae,Prunus,Prunus persica	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,3744,3745,171637,721805,3754,3760
3775	Cephalotus follicularis	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Oxalidales,Cephalotaceae,Cephalotus,Cephalotus follicularis	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,71243,3773,3774,3775
3816	Abrus precatorius	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Fabales,Fabaceae,Papilionoideae,50 kb inversion clade,NPAAA clade,indigoferoid/millettioid clade,Abreae,Abrus,Abrus precatorius	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,72025,3803,3814,2231393,2231382,2233855,163715,3815,3816
3818	Arachis hypogaea	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Fabales,Fabaceae,Papilionoideae,50 kb inversion clade,dalbergioids sensu lato,Dalbergieae,Pterocarpus clade,Arachis,Arachis hypogaea	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,72025,3803,3814,2231393,2231387,163725,2231390,3817,3818
3821	Cajanus cajan	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Fabales,Fabaceae,Papilionoideae,50 kb inversion clade,NPAAA clade,indigoferoid/millettioid clade,Phaseoleae,Cajanus,Cajanus cajan	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,72025,3803,3814,2231393,2231382,2233855,163735,3820,3821
3827	Cicer arietinum	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Fabales,Fabaceae,Papilionoideae,50 kb inversion clade,NPAAA clade,Hologalegina,IRL clade,Cicereae,Cicer,Cicer arietinum	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,72025,3803,3814,2231393,2231382,2233838,2233839,163722,3826,3827
3847	Glycine max	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Fabales,Fabaceae,Papilionoideae,50 kb inversion clade,NPAAA clade,indigoferoid/millettioid clade,Phaseoleae,Glycine,Glycine subgen. Soja,Glycine max	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,72025,3803,3814,2231393,2231382,2233855,163735,3846,1462606,3847
3848	Glycine soja	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Fabales,Fabaceae,Papilionoideae,50 kb inversion clade,NPAAA clade,indigoferoid/millettioid clade,Phaseoleae,Glycine,Glycine subgen. Soja,Glycine soja	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,72025,3803,3814,2231393,2231382,2233855,163735,3846,1462606,3848
3870	Lupinus albus	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Fabales,Fabaceae,Papilionoideae,50 kb inversion clade,genistoids sensu lato,core genistoids,Genisteae,Lupinus,Lupinus albus	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,72025,3803,3814,2231393,2231384,2231385,163729,3869,3870
3871	Lupinus angustifolius	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Fabales,Fabaceae,Papilionoideae,50 kb inversion clade,genistoids sensu lato,core genistoids,Genisteae,Lupinus,Lupinus angustifolius	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,72025,3803,3814,2231393,2231384,2231385,163729,3869,3871
3880	Medicago truncatula	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Fabales,Fabaceae,Papilionoideae,50 kb inversion clade,NPAAA clade,Hologalegina,IRL clade,Trifolieae,Medicago,Medicago truncatula	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,72025,3803,3814,2231393,2231382,2233838,2233839,163742,3877,3880
3885	Phaseolus vulgaris	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Fabales,Fabaceae,Papilionoideae,50 kb inversion clade,NPAAA clade,indigoferoid/millettioid clade,Phaseoleae,Phaseolus,Phaseolus vulgaris	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,72025,3803,3814,2231393,2231382,2233855,163735,3883,3885
3900	Trifolium subterraneum	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Fabales,Fabaceae,Papilionoideae,50 kb inversion clade,NPAAA clade,Hologalegina,IRL clade,Trifolieae,Trifolium,Trifolium subterraneum	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,72025,3803,3814,2231393,2231382,2233838,2233839,163742,3898,3900
3914	Vigna angularis	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Fabales,Fabaceae,Papilionoideae,50 kb inversion clade,NPAAA clade,indigoferoid/millettioid clade,Phaseoleae,Vigna,Vigna angularis	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,72025,3803,3814,2231393,2231382,2233855,163735,3913,3914
3916	Vigna radiata var. radiata	varietas	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Fabales,Fabaceae,Papilionoideae,50 kb inversion clade,NPAAA clade,indigoferoid/millettioid clade,Phaseoleae,Vigna,Vigna radiata,Vigna radiata var. radiata	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,72025,3803,3814,2231393,2231382,2233855,163735,3913,157791,3916
3917	Vigna unguiculata	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Fabales,Fabaceae,Papilionoideae,50 kb inversion clade,NPAAA clade,indigoferoid/millettioid clade,Phaseoleae,Vigna,Vigna unguiculata	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,72025,3803,3814,2231393,2231382,2233855,163735,3913,3917
3981	Hevea brasiliensis	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Malpighiales,Euphorbiaceae,Crotonoideae,Micrandreae,Hevea,Hevea brasiliensis	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,3646,3977,235631,235882,3980,3981
3983	Manihot esculenta	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Malpighiales,Euphorbiaceae,Crotonoideae,Manihoteae,Manihot,Manihot esculenta	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,3646,3977,235631,235883,3982,3983
3988	Ricinus communis	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Malpighiales,Euphorbiaceae,Acalyphoideae,Acalypheae,Ricinus,Ricinus communis	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,3646,3977,235629,235880,3987,3988
4072	Capsicum annuum	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Solanales,Solanaceae,Solanoideae,Capsiceae,Capsicum,Capsicum annuum	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71274,91888,4069,4070,424551,424564,4071,4072
4081	Solanum lycopersicum	species	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Solanales,Solanaceae,Solanoideae,Solaneae,Solanum,Solanum subgen. Lycopersicon,Solanum lycopersicum	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71274,91888,4069,4070,424551,424574,4107,49274,4081
